Cistrome_id,Species,External_id,External_id_type,Factor,Ontology,FastQC,MappedRatio,PBC,PeaksFoldChangeAbove10,FRiP,PeaksUnionDHSRatio,FastQC_flag,MappedRatio_flag,PBC_flag,FRiP_flag,DHSRatio_flag,sum_four_scores,ENCODE_accession,SRA_ENCODE,ENCODE_status
146253,homo_sapiens,GSM5214199,GEO,SMAD9,Hep-G2,36.0,0.0,0.986,305.0,0.0246102549518089,0.893,1,0,1,1,1,4,ENCFF718KIZ,SRR14103626,released
146268,homo_sapiens,GSM5214982,GEO,ATOH8,A549,38.0,0.0,0.973,454.0,0.0143476656440591,0.7571082879612825,1,0,1,1,1,4,ENCFF109IXL,SRR14105568,released
146271,homo_sapiens,GSM5214806,GEO,Hnf1b,Hep-G2,36.0,0.0,0.984,1905.0,0.1156027535300256,0.95,1,0,1,1,1,4,ENCFF100BMQ,SRR14105273,released
148065,homo_sapiens,GSM5370502,GEO,Gtf2i,GM25256,40.0,0.0,0.989,397.0,0.0137763429903117,0.5866501854140914,1,0,1,1,0,3,ENCFF679LCF,SRR14841427,released
148066,homo_sapiens,GSM5370001,GEO,NR2E3,A-549,38.0,0.0,0.99,304.0,0.0230800737354049,0.8432,1,0,1,1,1,4,ENCFF997RBA,SRR14830847,released
148074,homo_sapiens,GSM5370503,GEO,Gtf2i,GM25256,40.0,0.0,0.989,390.0,0.0138156602473109,0.6081018518518518,1,0,1,1,0,3,ENCFF782KLH,SRR14841428,released
148075,homo_sapiens,GSM5370000,GEO,NR2E3,A-549,38.0,0.0,0.99,305.0,0.0195854403056732,0.8164,1,0,1,1,1,4,ENCFF796MQP,SRR14830846,released
149645,homo_sapiens,GSM5369713,GEO,HMGA2,A549,40.0,0.0,0.988,340.0,0.0187006691875419,0.7934,1,0,1,1,1,4,ENCFF734YKM,SRR14837972,released
149651,homo_sapiens,GSM5369712,GEO,HMGA2,A549,40.0,0.0,0.989,354.0,0.016653689538632,0.789,1,0,1,1,1,4,ENCFF953IGT,SRR14837971,released
149675,homo_sapiens,GSM5213818,GEO,Fosl2,A549,40.0,0.0,0.984,364.0,0.012877555425423,0.5191222570532915,1,0,1,1,0,3,ENCFF249XJO,SRR14102931,released
149690,homo_sapiens,GSM5213851,GEO,Smad1,Hep-G2,36.0,0.0,0.986,183.0,0.0166176555930615,0.909,1,0,1,1,1,4,ENCFF055YEY,SRR14103005,released
149704,homo_sapiens,GSM5213920,GEO,ZNF12,Hep-G2,35.0,0.0,0.994,2925.0,0.0442301371836493,0.7154,1,0,1,1,1,4,ENCFF642OPP,SRR14103144,released
149722,homo_sapiens,GSM5213875,GEO,Gata2,SK-N-SH,36.0,0.0,0.988,7116.0,0.0814981835462226,0.9668,1,0,1,1,1,4,ENCFF785ZLQ,SRR14103057,released
149748,homo_sapiens,GSM5213850,GEO,Smad1,Hep-G2,36.0,0.0,0.981,842.0,0.090089005172791,0.9432,1,0,1,1,1,4,ENCFF895DOD,SRR14103004,released
149759,homo_sapiens,GSM5213968,GEO,ZNF20,Hep-G2,36.0,0.0,0.984,368.0,0.0193108401113101,0.8858,1,0,1,1,1,4,ENCFF566MZO,SRR14103210,released
149761,homo_sapiens,GSM5213874,GEO,Gata2,SK-N-SH,36.0,0.0,0.989,11405.0,0.1156227491723663,0.971,1,0,1,1,1,4,ENCFF478LQX,SRR14103056,released
